Order_ID,Customer_ID,Order_Date,Product_ID,Product_Name,Category,Brand,Region,State,City,Quantity,Unit_Price,Discount_Pct,Sales,Cost_Price,Profit,Inventory_Level,Customer_Rating,Return_Flag,Sales_Channel
O00039,C008,2025-04-03,P001,iPhone,Electronics,Apple,East,Odisha,Bhubaneswar,2,2746,5,5217.4,3958.37,1259.03,409,2,Yes,App
O00040,C075,2025-08-05,P019,Sneakers,Clothing,Adidas,North,Delhi,Delhi,4,1025,20,3280.0,2612.05,667.95,276,5,No,App
O00041,C024,2025-05-31,P005,Smartwatch,Electronics,Apple,North,UP,Noida,3,1322,15,3371.1,2550.16,820.94,189,5,No,Store
O00042,C013,2025-07-06,P013,Perfume,Beauty,Dior,West,Maharashtra,Mumbai,3,4152,15,10587.6,9424.39,1163.21,18,1,Yes,Online
O00043,C052,2025-12-05,P009,Microwave,Home,LG,West,Gujarat,Ahmedabad,9,2702,15,20670.3,19150.8,1519.5,366,5,No,Online
O00044,C053,2025-02-11,P020,Tshirt,Clothing,Puma,West,Maharashtra,Mumbai,4,3836,0,15344.0,8874.45,6469.55,185,2,No,Store
O00045,C007,2025-06-23,P011,Face Cream,Beauty,Nivea,West,Gujarat,Ahmedabad,9,1153,15,8820.45,7956.22,864.23,140,2,No,Store
O00046,C017,2025-11-23,P002,Galaxy,Electronics,Samsung,North,Delhi,Delhi,5,2586,20,10344.0,8309.6,2034.4,216,5,No,App
O00047,C019,2025-02-08,P019,Sneakers,Clothing,Adidas,North,UP,Noida,6,2414,10,13035.6,8866.83,4168.77,125,3,No,App
O00048,C062,2025-07-10,P020,Tshirt,Clothing,Puma,East,Odisha,Bhubaneswar,9,2158,0,19422.0,13988.89,5433.11,368,1,No,App
O00049,C036,2025-08-15,P021,Cricket Bat,Sports,SG,South,Tamil Nadu,Chennai,5,4375,20,17500.0,17461.53,38.47,146,4,Yes,Store
O00050,C057,2025-01-12,P009,Microwave,Home,LG,North,UP,Noida,1,1596,10,1436.4,1237.36,199.04,329,4,No,Online
O00051,C028,2025-08-08,P008,Mixer,Home,Philips,South,Tamil Nadu,Chennai,4,4385,5,16663.0,10652.9,6010.1,356,1,No,Store
O00052,C013,2025-02-15,P022,Football,Sports,Nike,West,Maharashtra,Mumbai,9,2708,15,20716.2,15055.54,5660.66,34,5,No,Store
O00053,C005,2025-04-29,P005,Smartwatch,Electronics,Apple,West,Maharashtra,Mumbai,2,209,5,397.1,287.54,109.56,288,1,No,Store
O00054,C027,2025-06-26,P017,Jeans,Clothing,Levis,West,Maharashtra,Mumbai,10,4358,0,43580.0,34536.22,9043.78,460,1,No,Store
O00055,C005,2025-12-24,P001,iPhone,Electronics,Apple,North,UP,Noida,7,4813,15,28637.35,25376.91,3260.44,258,5,No,Online
O00056,C004,2025-10-15,P005,Smartwatch,Electronics,Apple,South,Tamil Nadu,Chennai,3,2248,10,6069.6,4172.4,1897.2,33,4,No,Store
O00057,C054,2025-08-24,P002,Galaxy,Electronics,Samsung,South,Tamil Nadu,Chennai,3,4162,5,11861.7,9527.38,2334.32,388,3,No,Store
O00058,C038,2025-07-11,P015,Body Wash,Beauty,Dove,West,Maharashtra,Mumbai,5,4181,5,19859.75,15705.11,4154.64,251,2,No,App
O00059,C038,2025-12-01,P018,Jacket,Clothing,Nike,South,Karnataka,Bangalore,3,4742,5,13514.7,9062.87,4451.83,29,2,No,Online
O00060,C069,2025-02-03,P004,Headphones,Electronics,Sony,South,Tamil Nadu,Chennai,1,3032,15,2577.2,1717.81,859.39,261,5,No,App
O00061,C008,2025-12-26,P011,Face Cream,Beauty,Nivea,West,Gujarat,Ahmedabad,3,960,10,2592.0,1683.96,908.04,387,1,No,Store
O00062,C021,2025-11-22,P018,Jacket,Clothing,Nike,North,UP,Noida,3,4899,5,13962.15,8733.73,5228.42,0,5,No,App
O00063,C056,2025-12-16,P014,Lipstick,Beauty,Maybelline,South,Karnataka,Bangalore,10,2496,0,24960.0,18019.78,6940.22,106,5,Yes,Online
O00064,C078,2025-08-04,P008,Mixer,Home,Philips,North,Delhi,Delhi,4,2966,5,11270.8,8779.23,2491.57,385,5,Yes,Store
O00065,C018,2025-10-21,P024,Yoga Mat,Sports,Decathlon,West,Maharashtra,Mumbai,3,1846,10,4984.2,3782.61,1201.59,226,3,No,Online
O00066,C044,2025-01-25,P023,Basketball,Sports,Spalding,North,UP,Noida,10,1262,0,12620.0,9593.44,3026.56,144,5,No,App
O00067,C034,2025-04-21,P003,Laptop,Electronics,Dell,North,Delhi,Delhi,2,2358,15,4008.6,3227.05,781.55,263,1,No,App
O00068,C070,2025-08-17,P009,Microwave,Home,LG,North,UP,Noida,4,1961,10,7059.6,5012.51,2047.09,376,1,Yes,Online
O00069,C024,2025-11-07,P006,Sofa,Home,Ikea,South,Karnataka,Bangalore,4,3621,10,13035.6,8284.44,4751.16,136,3,No,Online
O00070,C079,2025-05-14,P004,Headphones,Electronics,Sony,East,West Bengal,Kolkata,6,667,15,3401.7,3118.95,282.75,117,1,No,App
O00071,C051,2025-06-22,P019,Sneakers,Clothing,Adidas,South,Karnataka,Bangalore,2,1046,10,1882.8,1449.55,433.25,299,5,No,App
O00072,C001,2025-03-31,P004,Headphones,Electronics,Sony,West,Gujarat,Ahmedabad,1,4827,0,4827.0,3294.23,1532.77,141,5,No,Store
O00073,C005,2025-05-18,P004,Headphones,Electronics,Sony,North,Delhi,Delhi,3,3944,5,11240.4,7851.32,3389.08,171,2,No,App
O00074,C015,2025-02-07,P020,Tshirt,Clothing,Puma,North,Delhi,Delhi,5,2576,0,12880.0,7459.76,5420.24,418,1,No,App
O00075,C040,2025-11-16,P014,Lipstick,Beauty,Maybelline,North,UP,Noida,9,2835,10,22963.5,14457.41,8506.09,405,4,No,Store
O00076,C062,2025-05-12,P009,Microwave,Home,LG,North,UP,Noida,3,3098,10,8364.6,6584.24,1780.36,88,5,No,App
O00077,C023,2025-03-04,P008,Mixer,Home,Philips,East,West Bengal,Kolkata,8,3797,10,27338.4,21446.23,5892.17,142,1,No,Online
O00078,C070,2025-05-14,P015,Body Wash,Beauty,Dove,West,Gujarat,Ahmedabad,5,3887,10,17491.5,13326.82,4164.68,66,3,No,Store
O00079,C038,2025-04-07,P015,Body Wash,Beauty,Dove,North,Delhi,Delhi,4,677,10,2437.2,2023.28,413.92,484,3,No,App
O00080,C038,2025-06-08,P004,Headphones,Electronics,Sony,South,Tamil Nadu,Chennai,10,4812,10,43308.0,35544.26,7763.74,302,4,No,Store
O00081,C036,2025-10-19,P008,Mixer,Home,Philips,North,Delhi,Delhi,4,3091,20,9891.2,9025.83,865.37,281,3,No,Store
O00082,C012,2025-08-06,P010,Mattress,Home,Sleepwell,East,Odisha,Bhubaneswar,6,1014,5,5779.8,4787.02,992.78,140,2,No,Store
O00083,C031,2025-02-20,P008,Mixer,Home,Philips,East,West Bengal,Kolkata,4,3135,20,10032.0,9114.19,917.81,28,1,No,Store
O00084,C057,2025-01-01,P001,iPhone,Electronics,Apple,South,Karnataka,Bangalore,5,3617,15,15372.25,10510.38,4861.87,318,3,No,Online
O00085,C026,2025-10-18,P015,Body Wash,Beauty,Dove,North,Delhi,Delhi,9,401,15,3067.65,2695.73,371.92,62,4,No,Store
O00086,C043,2025-12-30,P006,Sofa,Home,Ikea,South,Karnataka,Bangalore,2,674,5,1280.6,1050.92,229.68,250,3,No,Online
O00087,C028,2025-02-18,P007,Dining Table,Home,Ikea,East,Odisha,Bhubaneswar,5,4580,10,20610.0,16214.71,4395.29,454,1,No,Online
O00088,C051,2025-07-30,P020,Tshirt,Clothing,Puma,South,Tamil Nadu,Chennai,8,4622,0,36976.0,23201.86,13774.14,317,5,No,Online
O00089,C066,2025-04-23,P016,Shirt,Clothing,Levis,East,West Bengal,Kolkata,2,968,10,1742.4,1284.19,458.21,113,3,No,Online
O00090,C055,2025-10-15,P008,Mixer,Home,Philips,North,Delhi,Delhi,7,1681,10,10590.3,8366.34,2223.96,177,5,No,Online
O00091,C067,2025-02-20,P023,Basketball,Sports,Spalding,West,Gujarat,Ahmedabad,7,2690,20,15064.0,13157.69,1906.31,96,4,No,App
O00092,C054,2025-08-11,P003,Laptop,Electronics,Dell,East,Odisha,Bhubaneswar,8,2738,15,18618.4,17218.79,1399.61,310,2,Yes,Store
O00093,C029,2025-07-07,P001,iPhone,Electronics,Apple,West,Maharashtra,Mumbai,3,3895,20,9348.0,8987.06,360.94,81,2,No,Online
O00094,C037,2025-09-13,P020,Tshirt,Clothing,Puma,West,Gujarat,Ahmedabad,2,4766,15,8102.2,7222.05,880.15,221,1,No,Store
O00095,C059,2025-08-03,P020,Tshirt,Clothing,Puma,South,Tamil Nadu,Chennai,8,4888,5,37148.8,27038.23,10110.57,127,1,No,Online
O00096,C022,2025-08-23,P014,Lipstick,Beauty,Maybelline,North,UP,Noida,2,436,0,872.0,535.82,336.18,493,4,No,Online
O00097,C042,2025-12-22,P013,Perfume,Beauty,Dior,South,Karnataka,Bangalore,5,274,5,1301.5,934.91,366.59,40,2,No,Online
O00098,C031,2025-05-14,P006,Sofa,Home,Ikea,South,Tamil Nadu,Chennai,7,541,20,3029.6,2332.49,697.11,218,2,No,Online
O00099,C046,2025-03-05,P021,Cricket Bat,Sports,SG,West,Gujarat,Ahmedabad,1,3169,20,2535.2,2046.49,488.71,129,4,No,Online
O00100,C011,2025-06-13,P019,Sneakers,Clothing,Adidas,North,UP,Noida,3,4324,20,10377.6,9849.25,528.35,112,3,No,Store
O00101,C036,2025-08-27,P022,Football,Sports,Nike,South,Karnataka,Bangalore,8,4701,20,30086.4,25232.66,4853.74,147,3,No,Store
O00102,C073,2025-10-23,P017,Jeans,Clothing,Levis,South,Karnataka,Bangalore,2,353,5,670.7,407.11,263.59,16,1,No,Store
O00103,C044,2025-04-12,P008,Mixer,Home,Philips,South,Karnataka,Bangalore,7,4426,5,29432.9,23231.98,6200.92,353,4,No,Store
O00104,C062,2025-03-21,P017,Jeans,Clothing,Levis,North,Delhi,Delhi,10,3840,0,38400.0,22897.28,15502.72,215,3,No,Online
O00105,C012,2025-05-23,P017,Jeans,Clothing,Levis,West,Maharashtra,Mumbai,6,909,0,5454.0,4231.44,1222.56,58,2,Yes,App
O00106,C007,2025-09-27,P015,Body Wash,Beauty,Dove,East,Odisha,Bhubaneswar,7,600,5,3990.0,2906.34,1083.66,334,5,No,Store
O00107,C039,2025-04-13,P016,Shirt,Clothing,Levis,East,Odisha,Bhubaneswar,7,1700,5,11305.0,8761.57,2543.43,272,3,No,Online
O00108,C004,2025-12-15,P002,Galaxy,Electronics,Samsung,West,Maharashtra,Mumbai,8,4478,15,30450.4,24829.86,5620.54,469,1,No,Online
O00109,C030,2025-09-08,P016,Shirt,Clothing,Levis,North,UP,Noida,2,510,10,918.0,782.88,135.12,246,5,No,Store
O00110,C016,2025-08-24,P007,Dining Table,Home,Ikea,South,Tamil Nadu,Chennai,1,4772,20,3817.6,3196.98,620.62,238,1,No,Online
O00111,C030,2025-11-20,P007,Dining Table,Home,Ikea,East,West Bengal,Kolkata,1,3960,10,3564.0,2640.64,923.36,145,5,Yes,Online
O00112,C068,2025-05-20,P021,Cricket Bat,Sports,SG,South,Karnataka,Bangalore,9,4694,0,42246.0,27371.5,14874.5,186,2,No,Online
O00113,C025,2025-07-18,P011,Face Cream,Beauty,Nivea,East,Odisha,Bhubaneswar,7,1663,10,10476.9,9032.61,1444.29,51,4,No,Online
O00114,C003,2025-09-19,P022,Football,Sports,Nike,North,Delhi,Delhi,10,4521,0,45210.0,27357.55,17852.45,4,5,No,Store
O00115,C035,2025-06-27,P017,Jeans,Clothing,Levis,North,Delhi,Delhi,4,2113,0,8452.0,5016.04,3435.96,337,1,No,Store
O00116,C011,2025-04-15,P006,Sofa,Home,Ikea,North,UP,Noida,9,2576,15,19706.4,16113.38,3593.02,439,3,No,Online
O00117,C040,2025-01-25,P009,Microwave,Home,LG,West,Maharashtra,Mumbai,2,1555,5,2954.5,2339.9,614.6,260,3,No,Store
O00118,C077,2025-10-11,P006,Sofa,Home,Ikea,East,West Bengal,Kolkata,5,1113,20,4452.0,3367.08,1084.92,452,5,No,Online
O00119,C077,2025-08-25,P019,Sneakers,Clothing,Adidas,South,Karnataka,Bangalore,8,3311,5,25163.6,18169.3,6994.3,288,3,No,Online
O00120,C027,2025-07-07,P016,Shirt,Clothing,Levis,North,Delhi,Delhi,9,1916,5,16381.8,9940.45,6441.35,6,5,No,App
O00121,C053,2025-06-07,P025,Treadmill,Sports,Decathlon,West,Maharashtra,Mumbai,7,4721,5,31394.65,24950.05,6444.6,38,2,No,App
O00122,C017,2025-12-26,P013,Perfume,Beauty,Dior,North,UP,Noida,7,2185,20,12236.0,10771.22,1464.78,222,2,No,Online
O00123,C063,2025-03-01,P003,Laptop,Electronics,Dell,East,Odisha,Bhubaneswar,3,3726,5,10619.1,7355.8,3263.3,334,5,No,App
O00124,C065,2025-01-22,P004,Headphones,Electronics,Sony,West,Gujarat,Ahmedabad,1,1117,0,1117.0,776.92,340.08,473,3,No,App
O00125,C076,2025-01-07,P015,Body Wash,Beauty,Dove,North,UP,Noida,4,962,10,3463.2,2688.21,774.99,28,3,No,Store
O00126,C029,2025-01-04,P015,Body Wash,Beauty,Dove,East,West Bengal,Kolkata,10,3809,5,36185.5,23555.11,12630.39,464,3,No,Store
O00127,C022,2025-01-27,P015,Body Wash,Beauty,Dove,West,Maharashtra,Mumbai,4,2023,5,7687.4,6014.02,1673.38,194,1,No,Online
O00128,C057,2025-09-14,P021,Cricket Bat,Sports,SG,West,Gujarat,Ahmedabad,5,4226,15,17960.5,13721.79,4238.71,57,4,No,App
O00129,C080,2025-01-27,P003,Laptop,Electronics,Dell,East,West Bengal,Kolkata,9,991,15,7581.15,6160.24,1420.91,71,4,No,Online
O00130,C060,2025-02-15,P021,Cricket Bat,Sports,SG,East,West Bengal,Kolkata,2,4644,15,7894.8,5183.93,2710.87,14,1,Yes,Store
O00131,C060,2025-11-15,P017,Jeans,Clothing,Levis,South,Tamil Nadu,Chennai,4,1963,0,7852.0,4712.23,3139.77,213,5,No,Store
O00132,C038,2025-02-01,P013,Perfume,Beauty,Dior,North,UP,Noida,5,473,5,2246.75,1584.51,662.24,10,5,No,App
O00133,C046,2025-06-09,P009,Microwave,Home,LG,East,West Bengal,Kolkata,6,3962,0,23772.0,14513.07,9258.93,462,4,No,App
O00134,C077,2025-03-18,P008,Mixer,Home,Philips,East,Odisha,Bhubaneswar,1,201,0,201.0,114.97,86.03,115,2,No,App
O00135,C044,2025-11-01,P006,Sofa,Home,Ikea,West,Gujarat,Ahmedabad,10,4438,5,42161.0,24865.93,17295.07,359,3,No,Store
O00136,C008,2025-11-24,P006,Sofa,Home,Ikea,North,UP,Noida,9,2470,0,22230.0,16167.1,6062.9,177,4,No,App
O00137,C006,2025-11-10,P015,Body Wash,Beauty,Dove,West,Maharashtra,Mumbai,7,658,15,3915.1,3170.08,745.02,21,2,No,Store
O00138,C045,2025-08-31,P009,Microwave,Home,LG,East,Odisha,Bhubaneswar,2,2334,15,3967.8,2753.59,1214.21,121,3,No,Online
O00139,C070,2025-07-30,P008,Mixer,Home,Philips,North,Delhi,Delhi,5,4990,10,22455.0,14730.93,7724.07,149,5,No,Online
O00140,C063,2025-07-26,P003,Laptop,Electronics,Dell,East,Odisha,Bhubaneswar,3,4330,20,10392.0,7378.96,3013.04,352,4,No,Online
O00141,C060,2025-06-01,P024,Yoga Mat,Sports,Decathlon,East,West Bengal,Kolkata,4,2979,15,10128.6,8840.85,1287.75,49,1,No,Online
O00142,C036,2025-09-19,P004,Headphones,Electronics,Sony,South,Karnataka,Bangalore,2,4011,5,7620.9,5610.83,2010.07,294,2,No,App
O00143,C026,2025-01-08,P022,Football,Sports,Nike,North,UP,Noida,3,729,20,1749.6,1603.68,145.92,99,2,No,App
O00144,C060,2025-04-21,P002,Galaxy,Electronics,Samsung,West,Maharashtra,Mumbai,5,4205,20,16820.0,13861.6,2958.4,13,1,No,Store
O00145,C005,2025-06-13,P006,Sofa,Home,Ikea,North,Delhi,Delhi,9,2240,15,17136.0,12388.99,4747.01,300,3,No,App
O00146,C020,2025-09-21,P014,Lipstick,Beauty,Maybelline,East,Odisha,Bhubaneswar,10,3091,0,30910.0,20330.18,10579.82,170,4,No,App
O00147,C049,2025-04-30,P020,Tshirt,Clothing,Puma,East,West Bengal,Kolkata,5,2934,20,11736.0,10025.15,1710.85,43,4,No,App
O00148,C037,2025-01-20,P012,Shampoo,Beauty,Loreal,West,Maharashtra,Mumbai,4,4153,5,15781.4,9647.3,6134.1,281,5,No,Store
O00149,C020,2025-06-30,P006,Sofa,Home,Ikea,North,Delhi,Delhi,5,1208,10,5436.0,3384.78,2051.22,241,3,Yes,App
O00150,C023,2025-05-06,P025,Treadmill,Sports,Decathlon,South,Karnataka,Bangalore,9,3449,15,26384.85,21202.9,5181.95,300,4,No,App
O00151,C005,2025-03-27,P023,Basketball,Sports,Spalding,East,Odisha,Bhubaneswar,5,328,20,1312.0,1083.94,228.06,174,2,No,Store
O00152,C047,2025-08-20,P011,Face Cream,Beauty,Nivea,South,Tamil Nadu,Chennai,2,4249,0,8498.0,6439.1,2058.9,368,4,No,Online
O00153,C062,2025-08-08,P014,Lipstick,Beauty,Maybelline,East,West Bengal,Kolkata,1,3324,20,2659.2,2307.84,351.36,449,2,No,Store
O00154,C077,2025-06-08,P009,Microwave,Home,LG,North,Delhi,Delhi,9,4983,20,35877.6,33437.76,2439.84,488,3,No,Online
O00155,C023,2025-12-05,P006,Sofa,Home,Ikea,South,Tamil Nadu,Chennai,6,4314,5,24589.8,19168.95,5420.85,364,3,No,App
O00156,C071,2025-05-23,P022,Football,Sports,Nike,West,Maharashtra,Mumbai,5,3926,0,19630.0,12594.91,7035.09,404,3,No,Online
O00157,C078,2025-11-26,P001,iPhone,Electronics,Apple,North,UP,Noida,1,3538,10,3184.2,2094.89,1089.31,449,1,No,App
O00158,C025,2025-01-12,P008,Mixer,Home,Philips,East,Odisha,Bhubaneswar,6,2147,20,10305.6,9705.83,599.77,132,2,No,Store
O00159,C021,2025-04-17,P012,Shampoo,Beauty,Loreal,East,West Bengal,Kolkata,7,2745,15,16332.75,15158.35,1174.4,335,5,No,Online
O00160,C068,2025-02-21,P004,Headphones,Electronics,Sony,West,Maharashtra,Mumbai,4,340,10,1224.0,782.48,441.52,493,3,No,Store
O00161,C004,2025-03-31,P008,Mixer,Home,Philips,East,Odisha,Bhubaneswar,4,1881,5,7147.8,4651.01,2496.79,344,3,No,App
O00162,C042,2025-02-05,P007,Dining Table,Home,Ikea,North,Delhi,Delhi,7,2559,0,17913.0,12392.72,5520.28,83,4,No,App
O00163,C021,2025-08-02,P001,iPhone,Electronics,Apple,East,Odisha,Bhubaneswar,10,3138,20,25104.0,21978.64,3125.36,219,1,No,Store
O00164,C080,2025-02-18,P010,Mattress,Home,Sleepwell,East,Odisha,Bhubaneswar,9,1860,5,15903.0,12973.6,2929.4,153,3,No,App
O00165,C036,2025-08-30,P024,Yoga Mat,Sports,Decathlon,West,Gujarat,Ahmedabad,7,3473,0,24311.0,13951.69,10359.31,68,1,No,App
O00166,C071,2025-06-09,P001,iPhone,Electronics,Apple,West,Maharashtra,Mumbai,1,861,20,688.8,611.73,77.07,10,2,No,Online
O00167,C018,2025-11-19,P025,Treadmill,Sports,Decathlon,South,Karnataka,Bangalore,2,1543,10,2777.4,2157.92,619.48,41,5,No,Online
O00168,C036,2025-08-20,P011,Face Cream,Beauty,Nivea,West,Gujarat,Ahmedabad,3,1441,5,4106.85,3356.3,750.55,228,1,No,Online
O00169,C060,2025-05-10,P008,Mixer,Home,Philips,North,Delhi,Delhi,6,2672,15,13627.2,10590.78,3036.42,443,5,Yes,Online
O00170,C003,2025-12-08,P008,Mixer,Home,Philips,South,Tamil Nadu,Chennai,2,266,15,452.2,335.74,116.46,325,2,No,App
O00171,C044,2025-02-05,P006,Sofa,Home,Ikea,North,Delhi,Delhi,2,1694,15,2879.8,1914.34,965.46,452,5,No,Store
O00172,C012,2025-05-25,P025,Treadmill,Sports,Decathlon,West,Gujarat,Ahmedabad,10,2693,0,26930.0,20344.31,6585.69,399,4,No,Store
O00173,C005,2025-12-26,P016,Shirt,Clothing,Levis,South,Karnataka,Bangalore,7,4643,10,29250.9,19113.97,10136.93,247,4,No,App
O00174,C076,2025-02-07,P021,Cricket Bat,Sports,SG,East,Odisha,Bhubaneswar,6,4751,0,28506.0,20014.68,8491.32,499,2,Yes,Online
O00175,C073,2025-11-27,P023,Basketball,Sports,Spalding,South,Karnataka,Bangalore,2,2608,20,4172.8,3320.4,852.4,322,4,No,App
O00176,C060,2025-04-11,P004,Headphones,Electronics,Sony,South,Karnataka,Bangalore,6,1642,10,8866.8,6833.81,2032.99,243,2,No,Online
O00177,C006,2025-03-08,P010,Mattress,Home,Sleepwell,South,Tamil Nadu,Chennai,3,3429,5,9772.65,7890.27,1882.38,335,4,No,Store
O00178,C010,2025-01-25,P021,Cricket Bat,Sports,SG,West,Gujarat,Ahmedabad,2,3178,5,6038.2,5016.99,1021.21,449,1,No,Online
O00179,C041,2025-01-25,P004,Headphones,Electronics,Sony,West,Gujarat,Ahmedabad,1,1333,20,1066.4,838.97,227.43,140,5,No,Online
O00180,C078,2025-01-20,P002,Galaxy,Electronics,Samsung,East,West Bengal,Kolkata,4,4423,15,15038.2,11109.76,3928.44,145,5,No,App
O00181,C011,2025-06-27,P011,Face Cream,Beauty,Nivea,South,Tamil Nadu,Chennai,7,2153,5,14317.45,9086.89,5230.56,252,1,No,Online
O00182,C004,2025-04-13,P003,Laptop,Electronics,Dell,North,Delhi,Delhi,3,599,15,1527.45,1266.01,261.44,39,1,No,Online
O00183,C063,2025-03-03,P020,Tshirt,Clothing,Puma,East,Odisha,Bhubaneswar,6,3502,5,19961.4,12243.22,7718.18,255,5,No,Store
